"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q2";"TO-92_Inline_Wide";1;"2N5087";;;
2;"Q1";"TO-92L_Inline_Wide";1;"NTE457";;;
3;"G***";"cloth";1;"LOGO";;;
4;"REF**,REF**,REF**,REF**";"MountingHole_4.3mm_M4";4;"MountingHole_4.3mm_M4";;;
5;"J2,J3,J1";"2_pin_wire_in";3;"Conn_01x02";;;
6;"BT1";"2_pin_wire_in";1;"9VDC";;;
7;"SW1";"SPST_10TC605";1;"SW_SPST";;;
8;"R10,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"1K5";;;
9;"R8,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"82K";;;
10;"R6,R4,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"5K1";;;
11;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"470R";;;
12;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"5M1";;;
13;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"2K2";;;
14;"C6,C5";"CP_Radial_D8.0mm_P5.00mm";2;"10uF";;;
15;"C4,C2";"C_Disc_D5.0mm_W2.5mm_P5.00mm";2;"100pF";;;
16;"C3";"CP_Radial_D8.0mm_P3.50mm";1;"10uF";;;
17;"C1";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"0.1uF";;;
